,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
5579,35-39,rural,9.0,,,pit latrine without slab/open pit,yes,,,0.17647058823529413
5580,35-39,rural,9.0,,no,no facility/bush/field,,,,0.26
5581,35-39,rural,9.0,,,no facility/bush/field,,,,0.26
5582,35-39,rural,9.0,,no,pit latrine with slab,,,,0.12658227848101267
5583,35-39,rural,9.0,,,pit latrine with slab,,,,0.12658227848101267
5584,35-39,rural,9.0,,no,ventilated improved pit latrine (vip),,,,0.16666666666666666
5585,35-39,rural,9.0,,,ventilated improved pit latrine (vip),,,,0.16666666666666666
5586,35-39,rural,9.0,,no,,no,,,0.1652892561983471
5587,35-39,rural,9.0,,no,,yes,,,0.17475728155339806
5588,35-39,rural,9.0,,no,,,,,0.1712538226299694
5589,35-39,rural,9.0,,,,no,,,0.1652892561983471
5590,35-39,rural,9.0,,,,yes,,,0.17475728155339806
5591,35-39,rural,9.0,,,,,,,0.1712538226299694
5592,35-39,rural,9.0,unprotected spring,no,,,,,0.22857142857142856
5593,35-39,rural,9.0,unprotected spring,no,,yes,,,0.25
5594,35-39,rural,9.0,unprotected spring,,,,,,0.22857142857142856
5595,35-39,rural,9.0,unprotected spring,,,yes,,,0.25
5596,35-39,rural,9.0,protected well,no,,,,,0.15
5597,35-39,rural,9.0,protected well,,,,,,0.15
5598,35-39,rural,9.0,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.13636363636363635
5599,35-39,rural,9.0,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.13636363636363635
5600,35-39,rural,12.0,,no,,,,,0.23076923076923078
5601,35-39,rural,12.0,,no,,yes,,,0.24691358024691357
5602,35-39,rural,12.0,,,,,,,0.23076923076923078
5603,35-39,rural,12.0,,,,yes,,,0.24691358024691357
5604,35-39,rural,12.0,,no,no facility/bush/field,,,,0.1509433962264151
5605,35-39,rural,12.0,,,no facility/bush/field,,,,0.1509433962264151
5606,35-39,rural,2.0,,no,,,,,0.3953488372093023
5607,35-39,rural,2.0,,,,,,,0.3953488372093023
5608,35-39,rural,11.0,,no,pit latrine without slab/open pit,,,,0.16666666666666666
5609,35-39,rural,11.0,,no,pit latrine without slab/open pit,yes,,,0.15517241379310345
5610,35-39,rural,11.0,,,pit latrine without slab/open pit,,,,0.16666666666666666
5611,35-39,rural,11.0,,,pit latrine without slab/open pit,yes,,,0.15517241379310345
5612,35-39,rural,11.0,,no,,no,,,0.1506849315068493
5613,35-39,rural,11.0,,no,,yes,,,0.19387755102040816
5614,35-39,rural,11.0,,no,,,,,0.17543859649122806
5615,35-39,rural,11.0,,,,no,,,0.1506849315068493
5616,35-39,rural,11.0,,,,yes,,,0.19387755102040816
5617,35-39,rural,11.0,,,,,,,0.17543859649122806
5618,35-39,rural,13.0,,no,pit latrine without slab/open pit,,,,0.10294117647058823
5619,35-39,rural,13.0,,no,pit latrine without slab/open pit,yes,,,0.09836065573770492
5620,35-39,rural,13.0,,,pit latrine without slab/open pit,,,,0.10294117647058823
5621,35-39,rural,13.0,,,pit latrine without slab/open pit,yes,,,0.09836065573770492
5622,35-39,rural,13.0,,no,,,,,0.10891089108910891
5623,35-39,rural,13.0,,no,,yes,,,0.09876543209876543
5624,35-39,rural,13.0,,,,,,,0.10476190476190476
5625,35-39,rural,13.0,,,,yes,,,0.09876543209876543
5626,35-39,rural,,unprotected well,no,pit latrine without slab/open pit,no,,,0.1267605633802817
5627,35-39,rural,,unprotected well,no,pit latrine without slab/open pit,yes,,,0.1826086956521739
5628,35-39,rural,,unprotected well,no,pit latrine without slab/open pit,,,,0.16129032258064516
5629,35-39,rural,,unprotected well,,pit latrine without slab/open pit,no,,,0.1267605633802817
5630,35-39,rural,,unprotected well,,pit latrine without slab/open pit,yes,,,0.1826086956521739
5631,35-39,rural,,unprotected well,,pit latrine without slab/open pit,,,,0.16129032258064516
5632,35-39,rural,,unprotected well,no,no facility/bush/field,no,,,0.2222222222222222
5633,35-39,rural,,unprotected well,no,no facility/bush/field,yes,,,0.2982456140350877
5634,35-39,rural,,unprotected well,no,no facility/bush/field,,,,0.2558139534883721
5635,35-39,rural,,unprotected well,,no facility/bush/field,no,,,0.2222222222222222
5636,35-39,rural,,unprotected well,,no facility/bush/field,yes,,,0.2982456140350877
5637,35-39,rural,,unprotected well,,no facility/bush/field,,,,0.2558139534883721
5638,35-39,rural,,unprotected well,no,pit latrine with slab,,,,0.11538461538461539
5639,35-39,rural,,unprotected well,no,pit latrine with slab,yes,,,0.09090909090909091
5640,35-39,rural,,unprotected well,,pit latrine with slab,,,,0.11538461538461539
5641,35-39,rural,,unprotected well,,pit latrine with slab,yes,,,0.09090909090909091
5642,35-39,rural,,unprotected well,no,ventilated improved pit latrine (vip),,,,0.06818181818181818
5643,35-39,rural,,unprotected well,,ventilated improved pit latrine (vip),,,,0.06818181818181818
5644,35-39,rural,,unprotected well,no,,no,,,0.16666666666666666
5645,35-39,rural,,unprotected well,no,,yes,,,0.17228464419475656
5646,35-39,rural,,unprotected well,no,,,,,0.17006802721088435
5647,35-39,rural,,unprotected well,no,,,,45.0,0.12658227848101267
5648,35-39,rural,,unprotected well,,,no,,,0.16666666666666666
5649,35-39,rural,,unprotected well,,,yes,,,0.17228464419475656
5650,35-39,rural,,unprotected well,,,,,,0.17006802721088435
5651,35-39,rural,,unprotected well,,,,,45.0,0.12658227848101267
5652,35-39,rural,,unprotected well,no,,,10.0,,0.11538461538461539
5653,35-39,rural,,unprotected well,no,,yes,10.0,,0.09836065573770492
5654,35-39,rural,,unprotected well,,,,10.0,,0.11538461538461539
5655,35-39,rural,,unprotected well,,,yes,10.0,,0.09836065573770492
5656,35-39,rural,,unprotected spring,no,,no,20.0,,0.16666666666666666
5657,35-39,rural,,unprotected spring,no,,yes,20.0,,0.20967741935483872
5658,35-39,rural,,unprotected spring,no,,,20.0,,0.19090909090909092
5659,35-39,rural,,unprotected spring,,,no,20.0,,0.16666666666666666
5660,35-39,rural,,unprotected spring,,,yes,20.0,,0.20967741935483872
5661,35-39,rural,,unprotected spring,,,,20.0,,0.19090909090909092
5662,35-39,rural,,unprotected spring,no,pit latrine without slab/open pit,no,,,0.14035087719298245
5663,35-39,rural,,unprotected spring,no,pit latrine without slab/open pit,yes,,,0.2827586206896552
5664,35-39,rural,,unprotected spring,no,pit latrine without slab/open pit,,,,0.22007722007722008
5665,35-39,rural,,unprotected spring,,pit latrine without slab/open pit,no,,,0.14035087719298245
5666,35-39,rural,,unprotected spring,,pit latrine without slab/open pit,yes,,,0.2827586206896552
5667,35-39,rural,,unprotected spring,,pit latrine without slab/open pit,,,,0.22007722007722008
5668,35-39,rural,,unprotected spring,no,no facility/bush/field,no,,,0.2980132450331126
5669,35-39,rural,,unprotected spring,no,no facility/bush/field,yes,,,0.2802547770700637
5670,35-39,rural,,unprotected spring,no,no facility/bush/field,,,,0.288961038961039
5671,35-39,rural,,unprotected spring,no,no facility/bush/field,,,35.0,0.234375
5672,35-39,rural,,unprotected spring,,no facility/bush/field,no,,,0.2980132450331126
5673,35-39,rural,,unprotected spring,,no facility/bush/field,yes,,,0.2802547770700637
5674,35-39,rural,,unprotected spring,,no facility/bush/field,,,,0.288961038961039
5675,35-39,rural,,unprotected spring,,no facility/bush/field,,,35.0,0.234375
5676,35-39,rural,,unprotected spring,no,pit latrine with slab,,,,0.14634146341463414
5677,35-39,rural,,unprotected spring,,pit latrine with slab,,,,0.14634146341463414
5678,35-39,rural,,unprotected spring,no,ventilated improved pit latrine (vip),,,,0.23275862068965517
5679,35-39,rural,,unprotected spring,no,ventilated improved pit latrine (vip),yes,,,0.23684210526315788
5680,35-39,rural,,unprotected spring,,ventilated improved pit latrine (vip),,,,0.23275862068965517
5681,35-39,rural,,unprotected spring,,ventilated improved pit latrine (vip),yes,,,0.23684210526315788
5682,35-39,rural,,unprotected spring,no,,no,,,0.2184873949579832
5683,35-39,rural,,unprotected spring,no,,no,,35.0,0.19402985074626866
5684,35-39,rural,,unprotected spring,no,,yes,,,0.271264367816092
5685,35-39,rural,,unprotected spring,no,,yes,,40.0,0.265625
5686,35-39,rural,,unprotected spring,no,,,,,0.2474747474747475
5687,35-39,rural,,unprotected spring,no,,,,45.0,0.19718309859154928
5688,35-39,rural,,unprotected spring,no,,,,35.0,0.24761904761904763
5689,35-39,rural,,unprotected spring,no,,,,40.0,0.265625
5690,35-39,rural,,unprotected spring,,,no,,,0.2184873949579832
5691,35-39,rural,,unprotected spring,,,no,,35.0,0.19402985074626866
5692,35-39,rural,,unprotected spring,,,yes,,,0.271264367816092
5693,35-39,rural,,unprotected spring,,,yes,,40.0,0.265625
5694,35-39,rural,,unprotected spring,,,,,,0.2474747474747475
5695,35-39,rural,,unprotected spring,,,,,45.0,0.19718309859154928
5696,35-39,rural,,unprotected spring,,,,,35.0,0.24761904761904763
5697,35-39,rural,,unprotected spring,,,,,40.0,0.265625
5698,35-39,rural,,unprotected spring,no,pit latrine without slab/open pit,,10.0,,0.25
5699,35-39,rural,,unprotected spring,,pit latrine without slab/open pit,,10.0,,0.25
5700,35-39,rural,,unprotected spring,no,,,10.0,,0.28688524590163933
5701,35-39,rural,,unprotected spring,no,,yes,10.0,,0.3181818181818182
5702,35-39,rural,,unprotected spring,,,,10.0,,0.28688524590163933
5703,35-39,rural,,unprotected spring,,,yes,10.0,,0.3181818181818182
5704,35-39,rural,,unprotected spring,no,,,15.0,,0.18867924528301888
5705,35-39,rural,,unprotected spring,,,,15.0,,0.18867924528301888
5706,35-39,rural,,unprotected spring,no,,,60.0,,0.2833333333333333
5707,35-39,rural,,unprotected spring,,,,60.0,,0.2833333333333333
5708,35-39,rural,,unprotected spring,no,,no,30.0,,0.16363636363636364
5709,35-39,rural,,unprotected spring,no,,,30.0,,0.2616822429906542
5710,35-39,rural,,unprotected spring,,,no,30.0,,0.16363636363636364
5711,35-39,rural,,unprotected spring,,,,30.0,,0.2616822429906542
5712,35-39,rural,,unprotected spring,no,no facility/bush/field,,30.0,,0.323943661971831
5713,35-39,rural,,unprotected spring,,no facility/bush/field,,30.0,,0.323943661971831
5714,35-39,rural,,tube well or borehole,no,,,20.0,,0.12857142857142856
5715,35-39,rural,,tube well or borehole,,,,20.0,,0.12857142857142856
5716,35-39,rural,,tube well or borehole,no,pit latrine without slab/open pit,no,,,0.16806722689075632
5717,35-39,rural,,tube well or borehole,no,pit latrine without slab/open pit,yes,,,0.17857142857142858
5718,35-39,rural,,tube well or borehole,no,pit latrine without slab/open pit,,,,0.17316017316017315
5719,35-39,rural,,tube well or borehole,no,pit latrine without slab/open pit,,,40.0,0.1694915254237288
5720,35-39,rural,,tube well or borehole,,pit latrine without slab/open pit,no,,,0.16806722689075632
5721,35-39,rural,,tube well or borehole,,pit latrine without slab/open pit,yes,,,0.17857142857142858
5722,35-39,rural,,tube well or borehole,,pit latrine without slab/open pit,,,,0.17316017316017315
5723,35-39,rural,,tube well or borehole,,pit latrine without slab/open pit,,,40.0,0.1694915254237288
5724,35-39,rural,,tube well or borehole,no,no facility/bush/field,no,,,0.25333333333333335
5725,35-39,rural,,tube well or borehole,no,no facility/bush/field,yes,,,0.3
5726,35-39,rural,,tube well or borehole,no,no facility/bush/field,,,,0.2740740740740741
5727,35-39,rural,,tube well or borehole,,no facility/bush/field,no,,,0.25333333333333335
5728,35-39,rural,,tube well or borehole,,no facility/bush/field,yes,,,0.3
5729,35-39,rural,,tube well or borehole,,no facility/bush/field,,,,0.2740740740740741
5730,35-39,rural,,tube well or borehole,no,pit latrine with slab,no,,,0.21666666666666667
5731,35-39,rural,,tube well or borehole,no,pit latrine with slab,yes,,,0.19230769230769232
5732,35-39,rural,,tube well or borehole,no,pit latrine with slab,,,,0.2
5733,35-39,rural,,tube well or borehole,,pit latrine with slab,no,,,0.21666666666666667
5734,35-39,rural,,tube well or borehole,,pit latrine with slab,yes,,,0.19230769230769232
5735,35-39,rural,,tube well or borehole,,pit latrine with slab,,,,0.2
5736,35-39,rural,,tube well or borehole,no,ventilated improved pit latrine (vip),,,,0.2028985507246377
5737,35-39,rural,,tube well or borehole,,ventilated improved pit latrine (vip),,,,0.2028985507246377
5738,35-39,rural,,tube well or borehole,no,,no,,,0.21052631578947367
5739,35-39,rural,,tube well or borehole,no,,yes,,,0.20760233918128654
5740,35-39,rural,,tube well or borehole,no,,yes,,40.0,0.2153846153846154
5741,35-39,rural,,tube well or borehole,no,,,,,0.2089783281733746
5742,35-39,rural,,tube well or borehole,no,,,,45.0,0.01694915254237288
5743,35-39,rural,,tube well or borehole,no,,,,40.0,0.24
5744,35-39,rural,,tube well or borehole,no,,,,42.0,0.1935483870967742
5745,35-39,rural,,tube well or borehole,,,no,,,0.21052631578947367
5746,35-39,rural,,tube well or borehole,,,yes,,,0.20760233918128654
5747,35-39,rural,,tube well or borehole,,,yes,,40.0,0.2153846153846154
5748,35-39,rural,,tube well or borehole,,,,,,0.2089783281733746
5749,35-39,rural,,tube well or borehole,,,,,45.0,0.01694915254237288
5750,35-39,rural,,tube well or borehole,,,,,40.0,0.24
5751,35-39,rural,,tube well or borehole,,,,,42.0,0.1935483870967742
5752,35-39,rural,,tube well or borehole,no,,,10.0,,0.18085106382978725
5753,35-39,rural,,tube well or borehole,,,,10.0,,0.18085106382978725
5754,35-39,rural,,tube well or borehole,no,,,15.0,,0.2465753424657534
5755,35-39,rural,,tube well or borehole,,,,15.0,,0.2465753424657534
5756,35-39,rural,,protected well,no,,,20.0,,0.2765957446808511
5757,35-39,rural,,protected well,,,,20.0,,0.2765957446808511
5758,35-39,rural,,protected well,no,pit latrine without slab/open pit,no,,,0.31868131868131866
5759,35-39,rural,,protected well,no,pit latrine without slab/open pit,yes,,,0.2033898305084746
5760,35-39,rural,,protected well,no,pit latrine without slab/open pit,,,,0.2535885167464115
5761,35-39,rural,,protected well,,pit latrine without slab/open pit,no,,,0.31868131868131866
5762,35-39,rural,,protected well,,pit latrine without slab/open pit,yes,,,0.2033898305084746
5763,35-39,rural,,protected well,,pit latrine without slab/open pit,,,,0.2535885167464115
5764,35-39,rural,,protected well,no,no facility/bush/field,no,,,0.2564102564102564
5765,35-39,rural,,protected well,no,no facility/bush/field,yes,,,0.22807017543859648
5766,35-39,rural,,protected well,no,no facility/bush/field,,,,0.24444444444444444
5767,35-39,rural,,protected well,,no facility/bush/field,no,,,0.2564102564102564
5768,35-39,rural,,protected well,,no facility/bush/field,yes,,,0.22807017543859648
5769,35-39,rural,,protected well,,no facility/bush/field,,,,0.24444444444444444
5770,35-39,rural,,protected well,no,pit latrine with slab,,,,0.21367521367521367
5771,35-39,rural,,protected well,no,pit latrine with slab,yes,,,0.23880597014925373
5772,35-39,rural,,protected well,,pit latrine with slab,,,,0.21367521367521367
5773,35-39,rural,,protected well,,pit latrine with slab,yes,,,0.23880597014925373
5774,35-39,rural,,protected well,no,ventilated improved pit latrine (vip),,,,0.21774193548387097
5775,35-39,rural,,protected well,no,ventilated improved pit latrine (vip),yes,,,0.24719101123595505
5776,35-39,rural,,protected well,,ventilated improved pit latrine (vip),,,,0.21052631578947367
5777,35-39,rural,,protected well,,ventilated improved pit latrine (vip),yes,,,0.23469387755102042
5778,35-39,rural,,protected well,no,,no,,,0.24803149606299213
5779,35-39,rural,,protected well,no,,yes,,,0.22413793103448276
5780,35-39,rural,,protected well,no,,,,,0.23421926910299004
5781,35-39,rural,,protected well,no,,,,35.0,0.25
5782,35-39,rural,,protected well,,,no,,,0.24803149606299213
5783,35-39,rural,,protected well,,,yes,,,0.22128851540616246
5784,35-39,rural,,protected well,,,,,,0.23240589198036007
5785,35-39,rural,,protected well,,,,,35.0,0.25
5786,35-39,rural,,protected well,,,,0.0,,0.17857142857142858
5787,35-39,rural,,protected well,no,,,10.0,,0.14942528735632185
5788,35-39,rural,,protected well,no,,yes,10.0,,0.10344827586206896
5789,35-39,rural,,protected well,,,,10.0,,0.14942528735632185
5790,35-39,rural,,protected well,,,yes,10.0,,0.10344827586206896
5791,35-39,rural,,protected well,no,,,15.0,,0.19230769230769232
5792,35-39,rural,,protected well,,,,15.0,,0.19230769230769232
5793,35-39,rural,,protected well,no,,,5.0,,0.25
5794,35-39,rural,,protected well,,,,5.0,,0.25
5795,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,20.0,,0.25
5796,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,20.0,,0.25
5797,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,no,,,0.28169014084507044
5798,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.16783216783216784
5799,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.205607476635514
5800,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,no,,,0.28169014084507044
5801,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.16783216783216784
5802,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.205607476635514
5803,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,no,,,0.25
5804,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,yes,,,0.1509433962264151
5805,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.21929824561403508
5806,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,no,,,0.25
5807,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,yes,,,0.1509433962264151
5808,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.21929824561403508
5809,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine with slab,,,,0.2857142857142857
5810,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine with slab,,,,0.2857142857142857
5811,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,ventilated improved pit latrine (vip),,,,0.14102564102564102
5812,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,ventilated improved pit latrine (vip),yes,,,0.16666666666666666
5813,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,ventilated improved pit latrine (vip),,,,0.13414634146341464
5814,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,ventilated improved pit latrine (vip),yes,,,0.16666666666666666
5815,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.25
5816,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.17894736842105263
5817,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,45.0,0.19148936170212766
5818,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,40.0,0.24561403508771928
5819,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.21262458471760798
5820,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,45.0,0.21428571428571427
5821,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,35.0,0.2459016393442623
5822,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,40.0,0.23170731707317074
5823,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,39.0,0.2857142857142857
5824,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.24768518518518517
5825,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.17894736842105263
5826,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,45.0,0.19148936170212766
5827,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,40.0,0.24561403508771928
5828,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.21168687982359427
5829,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,45.0,0.21428571428571427
5830,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,35.0,0.2459016393442623
5831,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,40.0,0.23170731707317074
5832,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,38.0,0.20930232558139536
5833,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,39.0,0.2857142857142857
5834,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,10.0,,0.2289156626506024
5835,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,10.0,,0.26
5836,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,10.0,,0.2289156626506024
5837,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,10.0,,0.26
5838,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,15.0,,0.23595505617977527
5839,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,15.0,,0.23595505617977527
5840,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,60.0,,0.2545454545454545
5841,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,60.0,,0.1917808219178082
5842,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,60.0,,0.2545454545454545
5843,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,60.0,,0.1917808219178082
5844,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,12.0,,0.25
5845,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,12.0,,0.25
5846,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,30.0,,0.18309859154929578
5847,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,30.0,,0.15625
5848,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,30.0,,0.18309859154929578
5849,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,30.0,,0.15625
5850,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,30.0,,0.2
5851,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,30.0,,0.2
5852,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,30.0,,0.19047619047619047
5853,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,30.0,,0.18691588785046728
5854,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,30.0,,0.18823529411764706
5855,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,30.0,,0.19047619047619047
5856,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,30.0,,0.18691588785046728
5857,35-39,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,30.0,,0.18823529411764706
5858,35-39,rural,,,no,pit latrine without slab/open pit,no,20.0,,0.21518987341772153
5859,35-39,rural,,,no,pit latrine without slab/open pit,yes,20.0,,0.22580645161290322
5860,35-39,rural,,,no,pit latrine without slab/open pit,,20.0,,0.2198581560283688
5861,35-39,rural,,,,pit latrine without slab/open pit,no,20.0,,0.21518987341772153
5862,35-39,rural,,,,pit latrine without slab/open pit,yes,20.0,,0.22580645161290322
5863,35-39,rural,,,,pit latrine without slab/open pit,,20.0,,0.2198581560283688
5864,35-39,rural,,,no,no facility/bush/field,no,20.0,,0.13725490196078433
5865,35-39,rural,,,no,no facility/bush/field,yes,20.0,,0.1346153846153846
5866,35-39,rural,,,no,no facility/bush/field,,20.0,,0.13592233009708737
5867,35-39,rural,,,,no facility/bush/field,no,20.0,,0.13725490196078433
5868,35-39,rural,,,,no facility/bush/field,yes,20.0,,0.1346153846153846
5869,35-39,rural,,,,no facility/bush/field,,20.0,,0.13592233009708737
5870,35-39,rural,,,no,pit latrine with slab,,20.0,,0.22
5871,35-39,rural,,,no,pit latrine with slab,yes,20.0,,0.22857142857142856
5872,35-39,rural,,,,pit latrine with slab,,20.0,,0.22
5873,35-39,rural,,,,pit latrine with slab,yes,20.0,,0.22857142857142856
5874,35-39,rural,,,no,ventilated improved pit latrine (vip),,20.0,,0.32051282051282054
5875,35-39,rural,,,,ventilated improved pit latrine (vip),,20.0,,0.32051282051282054
5876,35-39,rural,,,no,,no,20.0,,0.18421052631578946
5877,35-39,rural,,,no,,yes,20.0,,0.23715415019762845
5878,35-39,rural,,,no,,,20.0,,0.2144469525959368
5879,35-39,rural,,,,,no,20.0,,0.18421052631578946
5880,35-39,rural,,,,,yes,20.0,,0.23715415019762845
5881,35-39,rural,,,,,,20.0,,0.2144469525959368
5882,35-39,rural,,,no,pit latrine without slab/open pit,no,,,0.22
5883,35-39,rural,,,no,pit latrine without slab/open pit,no,,45.0,0.12903225806451613
5884,35-39,rural,,,no,pit latrine without slab/open pit,no,,35.0,0.3291139240506329
5885,35-39,rural,,,no,pit latrine without slab/open pit,yes,,,0.20951302378255945
5886,35-39,rural,,,no,pit latrine without slab/open pit,yes,,45.0,0.23076923076923078
5887,35-39,rural,,,no,pit latrine without slab/open pit,yes,,35.0,0.13793103448275862
5888,35-39,rural,,,no,pit latrine without slab/open pit,yes,,40.0,0.2283464566929134
5889,35-39,rural,,,no,pit latrine without slab/open pit,,,,0.21375590020229265
5890,35-39,rural,,,no,pit latrine without slab/open pit,,,45.0,0.1927710843373494
5891,35-39,rural,,,no,pit latrine without slab/open pit,,,36.0,0.1791044776119403
5892,35-39,rural,,,no,pit latrine without slab/open pit,,,35.0,0.24817518248175183
5893,35-39,rural,,,no,pit latrine without slab/open pit,,,40.0,0.23809523809523808
5894,35-39,rural,,,no,pit latrine without slab/open pit,,,42.0,0.23529411764705882
5895,35-39,rural,,,no,pit latrine without slab/open pit,,,38.0,0.23943661971830985
5896,35-39,rural,,,no,pit latrine without slab/open pit,,,39.0,0.1724137931034483
5897,35-39,rural,,,no,pit latrine without slab/open pit,,,37.0,0.23809523809523808
5898,35-39,rural,,,,pit latrine without slab/open pit,no,,,0.22
5899,35-39,rural,,,,pit latrine without slab/open pit,no,,45.0,0.12903225806451613
5900,35-39,rural,,,,pit latrine without slab/open pit,no,,35.0,0.3291139240506329
5901,35-39,rural,,,,pit latrine without slab/open pit,yes,,,0.20951302378255945
5902,35-39,rural,,,,pit latrine without slab/open pit,yes,,45.0,0.23076923076923078
5903,35-39,rural,,,,pit latrine without slab/open pit,yes,,35.0,0.13793103448275862
5904,35-39,rural,,,,pit latrine without slab/open pit,yes,,40.0,0.2283464566929134
5905,35-39,rural,,,,pit latrine without slab/open pit,,,,0.21375590020229265
5906,35-39,rural,,,,pit latrine without slab/open pit,,,45.0,0.1927710843373494
5907,35-39,rural,,,,pit latrine without slab/open pit,,,36.0,0.1791044776119403
5908,35-39,rural,,,,pit latrine without slab/open pit,,,35.0,0.24817518248175183
5909,35-39,rural,,,,pit latrine without slab/open pit,,,40.0,0.23809523809523808
5910,35-39,rural,,,,pit latrine without slab/open pit,,,42.0,0.23529411764705882
5911,35-39,rural,,,,pit latrine without slab/open pit,,,38.0,0.23943661971830985
5912,35-39,rural,,,,pit latrine without slab/open pit,,,39.0,0.1724137931034483
5913,35-39,rural,,,,pit latrine without slab/open pit,,,37.0,0.23809523809523808
